entity               ,category              ,start       ,end         ,duration,confidence,id
lane                 ,road                  ,00:00:40.680,00:00:45.080,4.4     ,0.568     ,eIhGAa6PW98
lane                 ,road                  ,00:00:49.120,00:00:53.080,3.96    ,0.72      ,eIhGAa6PW98
lane                 ,road                  ,00:00:53.120,00:00:57.280,4.16    ,0.512     ,eIhGAa6PW98
lane                 ,road                  ,00:00:57.320,00:01:01.440,4.12    ,0.463     ,eIhGAa6PW98
media                ,                      ,00:02:51.480,00:02:57.040,5.56    ,0.489     ,eIhGAa6PW98
transport            ,                      ,00:00:49.120,00:00:53.080,3.96    ,0.572     ,eIhGAa6PW98
transport            ,                      ,00:00:53.120,00:00:57.280,4.16    ,0.61      ,eIhGAa6PW98
grass family         ,plant                 ,00:02:42.080,00:02:43.720,1.64    ,0.455     ,eIhGAa6PW98
rain                 ,weather               ,00:00:40.680,00:00:45.080,4.4     ,0.44      ,eIhGAa6PW98
rain                 ,weather               ,00:00:45.120,00:00:49.080,3.96    ,0.63      ,eIhGAa6PW98
rain                 ,weather               ,00:00:57.320,00:01:01.440,4.12    ,0.831     ,eIhGAa6PW98
street               ,road                  ,00:00:40.680,00:00:45.080,4.4     ,0.733     ,eIhGAa6PW98
street               ,road                  ,00:00:49.120,00:00:53.080,3.96    ,0.91      ,eIhGAa6PW98
street               ,road                  ,00:00:53.120,00:00:57.280,4.16    ,0.91      ,eIhGAa6PW98
street               ,road                  ,00:00:57.320,00:01:01.440,4.12    ,0.947     ,eIhGAa6PW98
street               ,road                  ,00:01:06.760,00:01:07.840,1.08    ,0.947     ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:40.680,00:00:45.080,4.4     ,0.718     ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:49.120,00:00:53.080,3.96    ,0.667     ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:57.320,00:01:01.440,4.12    ,0.456     ,eIhGAa6PW98
metropolitan area    ,city                  ,00:01:17.920,00:01:23.880,5.96    ,0.712     ,eIhGAa6PW98
news                 ,                      ,00:00:00.000,00:00:21.120,21.12   ,0.673     ,eIhGAa6PW98
news                 ,                      ,00:02:51.480,00:02:57.040,5.56    ,0.756     ,eIhGAa6PW98
news                 ,                      ,00:03:32.280,00:03:34.520,2.24    ,0.673     ,eIhGAa6PW98
public space         ,city                  ,00:01:06.760,00:01:07.840,1.08    ,0.54      ,eIhGAa6PW98
parking              ,person                ,00:00:53.120,00:00:57.280,4.16    ,0.799     ,eIhGAa6PW98
town                 ,geographical feature  ,00:00:40.680,00:00:45.080,4.4     ,0.549     ,eIhGAa6PW98
town                 ,geographical feature  ,00:00:57.320,00:01:01.440,4.12    ,0.454     ,eIhGAa6PW98
tourist attraction   ,location              ,00:01:10.520,00:01:14.040,3.52    ,0.491     ,eIhGAa6PW98
commercial building  ,building              ,00:01:17.920,00:01:23.880,5.96    ,0.844     ,eIhGAa6PW98
infrastructure       ,                      ,00:00:40.680,00:00:45.080,4.4     ,0.53      ,eIhGAa6PW98
infrastructure       ,                      ,00:00:49.120,00:00:53.080,3.96    ,0.512     ,eIhGAa6PW98
infrastructure       ,                      ,00:01:06.760,00:01:07.840,1.08    ,0.307     ,eIhGAa6PW98
geological phenomenon,                      ,00:01:23.920,00:01:28.600,4.68    ,0.488     ,eIhGAa6PW98
traffic              ,                      ,00:00:40.680,00:00:45.080,4.4     ,0.572     ,eIhGAa6PW98
traffic              ,                      ,00:00:49.120,00:00:53.080,3.96    ,0.757     ,eIhGAa6PW98
traffic              ,                      ,00:00:53.120,00:00:57.280,4.16    ,0.475     ,eIhGAa6PW98
traffic              ,                      ,00:00:57.320,00:01:01.440,4.12    ,0.327     ,eIhGAa6PW98
signaling device     ,weak entity           ,00:00:45.120,00:00:49.080,3.96    ,0.348     ,eIhGAa6PW98
crowd                ,people                ,00:00:18.600,00:00:22.960,4.36    ,0.372     ,c2B1ghS1fOE
crowd                ,people                ,00:00:30.280,00:00:34.960,4.68    ,0.568     ,c2B1ghS1fOE
crowd                ,people                ,00:00:35.000,00:00:40.400,5.4     ,0.877     ,c2B1ghS1fOE
crowd                ,people                ,00:00:40.440,00:00:45.920,5.48    ,0.755     ,c2B1ghS1fOE
crowd                ,people                ,00:00:52.560,00:00:57.080,4.52    ,0.568     ,c2B1ghS1fOE
crowd                ,people                ,00:00:57.120,00:01:03.200,6.08    ,0.568     ,c2B1ghS1fOE
fun                  ,                      ,00:01:19.920,00:01:27.560,7.64    ,0.364     ,c2B1ghS1fOE
food                 ,                      ,00:01:27.600,00:01:32.840,5.24    ,0.401     ,c2B1ghS1fOE
interaction          ,person                ,00:01:37.040,00:01:40.480,3.44    ,0.52      ,c2B1ghS1fOE
pedestrian           ,person                ,00:00:40.440,00:00:45.920,5.48    ,0.747     ,c2B1ghS1fOE
pedestrian           ,person                ,00:00:52.560,00:00:57.080,4.52    ,0.863     ,c2B1ghS1fOE
pedestrian           ,person                ,00:01:03.240,00:01:06.720,3.48    ,0.653     ,c2B1ghS1fOE
pedestrian           ,person                ,00:01:11.240,00:01:19.880,8.64    ,0.367     ,c2B1ghS1fOE
slum                 ,geographical feature  ,00:01:45.280,00:01:51.000,5.72    ,0.429     ,c2B1ghS1fOE
vehicle              ,                      ,00:00:30.280,00:00:34.960,4.68    ,0.734     ,c2B1ghS1fOE
vehicle              ,                      ,00:00:40.440,00:00:45.920,5.48    ,0.55      ,c2B1ghS1fOE
vehicle              ,                      ,00:00:49.200,00:00:52.520,3.32    ,0.46      ,c2B1ghS1fOE
vehicle              ,                      ,00:01:51.040,00:01:56.840,5.8     ,0.389     ,c2B1ghS1fOE
riot                 ,event                 ,00:00:18.600,00:00:22.960,4.36    ,0.513     ,c2B1ghS1fOE
explosion            ,disaster              ,00:00:45.960,00:00:49.160,3.2     ,0.673     ,c2B1ghS1fOE
street performance   ,                      ,00:01:03.240,00:01:06.720,3.48    ,0.425     ,c2B1ghS1fOE
street performance   ,                      ,00:01:06.760,00:01:11.200,4.44    ,0.569     ,c2B1ghS1fOE
smoke                ,                      ,00:00:45.960,00:00:49.160,3.2     ,0.978     ,c2B1ghS1fOE
human                ,                      ,00:01:11.240,00:01:19.880,8.64    ,0.35      ,c2B1ghS1fOE
human                ,                      ,00:01:19.920,00:01:27.560,7.64    ,0.537     ,c2B1ghS1fOE
graffiti             ,art                   ,00:01:45.280,00:01:51.000,5.72    ,0.45      ,c2B1ghS1fOE
tree                 ,plant                 ,00:01:19.920,00:01:27.560,7.64    ,0.333     ,c2B1ghS1fOE
heat                 ,                      ,00:00:27.040,00:00:28.920,1.88    ,0.51      ,c2B1ghS1fOE
heat                 ,                      ,00:00:28.960,00:00:30.240,1.28    ,0.375     ,c2B1ghS1fOE
social group         ,                      ,00:00:57.120,00:01:03.200,6.08    ,0.471     ,c2B1ghS1fOE
urban area           ,city                  ,00:01:11.240,00:01:19.880,8.64    ,0.53      ,c2B1ghS1fOE
urban area           ,city                  ,00:01:19.920,00:01:27.560,7.64    ,0.456     ,c2B1ghS1fOE
disaster             ,event                 ,00:00:45.960,00:00:49.160,3.2     ,0.613     ,c2B1ghS1fOE
public space         ,city                  ,00:00:52.560,00:00:57.080,4.52    ,0.483     ,c2B1ghS1fOE
public space         ,city                  ,00:00:57.120,00:01:03.200,6.08    ,0.606     ,c2B1ghS1fOE
public space         ,city                  ,00:01:03.240,00:01:06.720,3.48    ,0.729     ,c2B1ghS1fOE
public space         ,city                  ,00:01:11.240,00:01:19.880,8.64    ,0.535     ,c2B1ghS1fOE
public space         ,city                  ,00:01:19.920,00:01:27.560,7.64    ,0.729     ,c2B1ghS1fOE
wildfire             ,disaster              ,00:00:45.960,00:00:49.160,3.2     ,0.539     ,c2B1ghS1fOE
community            ,organization          ,00:00:35.000,00:00:40.400,5.4     ,0.343     ,c2B1ghS1fOE
community            ,organization          ,00:00:57.120,00:01:03.200,6.08    ,0.452     ,c2B1ghS1fOE
community            ,organization          ,00:01:19.920,00:01:27.560,7.64    ,0.374     ,c2B1ghS1fOE
community            ,organization          ,00:01:37.040,00:01:40.480,3.44    ,0.374     ,c2B1ghS1fOE
street art           ,art                   ,00:01:45.280,00:01:51.000,5.72    ,0.566     ,c2B1ghS1fOE
facial expression    ,person                ,00:01:11.240,00:01:19.880,8.64    ,0.343     ,c2B1ghS1fOE
facial expression    ,person                ,00:01:19.920,00:01:27.560,7.64    ,0.426     ,c2B1ghS1fOE
sports               ,                      ,00:00:30.280,00:00:34.960,4.68    ,0.527     ,c2B1ghS1fOE
art                  ,                      ,00:01:45.280,00:01:51.000,5.72    ,0.468     ,c2B1ghS1fOE
transport            ,                      ,00:00:40.440,00:00:45.920,5.48    ,0.359     ,c2B1ghS1fOE
transport            ,                      ,00:00:49.200,00:00:52.520,3.32    ,0.359     ,c2B1ghS1fOE
fire                 ,                      ,00:00:18.600,00:00:22.960,4.36    ,0.901     ,c2B1ghS1fOE
fire                 ,                      ,00:00:23.000,00:00:27.000,4.0     ,0.876     ,c2B1ghS1fOE
fire                 ,                      ,00:00:27.040,00:00:28.920,1.88    ,0.951     ,c2B1ghS1fOE
fire                 ,                      ,00:00:28.960,00:00:30.240,1.28    ,0.952     ,c2B1ghS1fOE
fire                 ,                      ,00:00:45.960,00:00:49.160,3.2     ,0.958     ,c2B1ghS1fOE
flame                ,fire                  ,00:00:27.040,00:00:28.920,1.88    ,0.373     ,c2B1ghS1fOE
people               ,person                ,00:00:18.600,00:00:22.960,4.36    ,0.467     ,c2B1ghS1fOE
people               ,person                ,00:00:35.000,00:00:40.400,5.4     ,0.925     ,c2B1ghS1fOE
people               ,person                ,00:00:40.440,00:00:45.920,5.48    ,0.403     ,c2B1ghS1fOE
people               ,person                ,00:00:57.120,00:01:03.200,6.08    ,0.524     ,c2B1ghS1fOE
people               ,person                ,00:01:11.240,00:01:19.880,8.64    ,0.467     ,c2B1ghS1fOE
people               ,person                ,00:01:19.920,00:01:27.560,7.64    ,0.662     ,c2B1ghS1fOE
people               ,person                ,00:01:37.040,00:01:40.480,3.44    ,0.403     ,c2B1ghS1fOE
road                 ,                      ,00:01:11.240,00:01:19.880,8.64    ,0.335     ,c2B1ghS1fOE
street               ,road                  ,00:00:40.440,00:00:45.920,5.48    ,0.574     ,c2B1ghS1fOE
street               ,road                  ,00:00:52.560,00:00:57.080,4.52    ,0.947     ,c2B1ghS1fOE
street               ,road                  ,00:01:03.240,00:01:06.720,3.48    ,0.892     ,c2B1ghS1fOE
street               ,road                  ,00:01:06.760,00:01:11.200,4.44    ,0.618     ,c2B1ghS1fOE
street               ,road                  ,00:01:11.240,00:01:19.880,8.64    ,0.733     ,c2B1ghS1fOE
day                  ,                      ,00:01:11.240,00:01:19.880,8.64    ,0.347     ,c2B1ghS1fOE
day                  ,                      ,00:01:19.920,00:01:27.560,7.64    ,0.512     ,c2B1ghS1fOE
day                  ,                      ,00:01:37.040,00:01:40.480,3.44    ,0.463     ,c2B1ghS1fOE
